Package                           Size (KB)        Status
hostname                              50        installed
powermgmt-base                        51        installed
libcanberra-gtk3-module               51        installed
libxcb-image0                         51        installed
liblocale-gettext-perl                51        installed
libuuid-perl                          51        installed
plymouth-theme-ubuntu-text            52        installed
libnl-genl-3-200                      52        installed
unity-scope-gdrive                    52        installed
libffi6                               52        installed
libnss3-1d                            52        installed
liboauth0                             52        installed
nux-tools                             52        installed
enchant                               53        installed
python3-six                           53        installed
libnih-dbus1                          54        installed
dns-root-data                         54        installed
liberror-perl                         54        installed
checkbox-gui                          54        installed
libqqwing2v5                          54        installed
qtdeclarative5-test-plugin            54        installed
ubuntu-system-service                 54        installed
xorg                                  54        installed
gir1.2-notify-0.7                     54        installed
qtdeclarative5-qtquick2-plugin        54        installed
libfile-listing-perl                  55        installed
libcgi-fast-perl                      55        installed
libgsettings-qt1                      55        installed
libnma-common                         55        installed
dpkg-repack                           55        installed
libnm-gtk-common                      55        installed
laptop-detect                         56        installed
glib-networking-common                56        installed
signon-plugin-password                56        installed
apturl                                56        installed
libwhoopsie-preferences0              56        installed
libxcb-xfixes0                        56        installed
libhttp-date-perl                     56        installed
liblwp-protocol-https-perl            56        installed
libxcb-keysyms1                       56        installed
libwacom2                             56        installed
libxv1                                56        installed
libxcb-util1                          56        installed
libemail-valid-perl                   56        installed
libdatrie1                            56        installed
libattr1                              56        installed
libusb-0.1-4                          56        installed
libacl1                               57        installed
libcolamd2.9.1                        57        installed
printer-driver-brlaser                57        installed
ippusbxd                              57        installed
vbetool                               57        installed
xinit                                 57        installed
mokutil                               58        installed
libboost-system1.58.0                 58        installed
libio-string-perl                     58        installed
lsb-base                              58        installed
diffstat                              59        installed
libavc1394-0                          59        installed
libxss1                               59        installed
libxxf86vm1                           59        installed
libasyncns0                           59        installed
libndp0                               59        installed
xul-ext-ubufox                        59        installed
libxxf86dga1                          59        installed
libvorbisfile3                        59        installed
libipc-system-simple-perl             59        installed
libnet-libidn-perl                    60        installed
libsasl2-modules-db                   60        installed
libnfnetlink0                         60        installed
libmnl0                               60        installed
gcc-6-base                            60        installed
fcitx-frontend-gtk2                   60        installed
inputattach                           60        installed
mscompress                            60        installed
libdotconf0                           61        installed
libtie-ixhash-perl                    61        installed
ssl-cert                              61        installed
python3-markupsafe                    61        installed
archdetect-deb                        61        installed
libxfixes3                            61        installed
session-migration                     61        installed
libnet-http-perl                      61        installed
libxcb-render-util0                   61        installed
libpaper1                             61        installed
printer-driver-ptouch                 62        installed
libpciaccess0                         62        installed
lsb-release                           62        installed
apt-clone                             62        installed
cpp                                   62        installed
libpolkit-agent-1-0                   63        installed
whiptail                              63        installed
gcc-5-base                            63        installed
libgdk-pixbuf2.0-common               64        installed
python3-reportlab-accel               64        installed
fcitx-frontend-gtk3                   64        installed
fcitx-module-lua                      64        installed
libxtst6                              64        installed
libstartup-notification0              65        installed
xserver-xorg-input-vmmouse            65        installed
libxcb-render0                        66        installed
libxrandr2                            66        installed
netbase                               66        installed
libdebconfclient0                     67        installed
libdaemon0                            67        installed
libsm6                                67        installed
python3                               67        installed
libavahi-glib1                        67        installed
libaccount-plugin-1.0-0               67        installed
gir1.2-atspi-2.0                      67        installed
rdate                                 68        installed
rename                                68        installed
libsocket6-perl                       68        installed
libdrm-amdgpu1                        68        installed
libnotify-bin                         69        installed
libxkbcommon-x11-0                    69        installed
linux-sound-base                      69        installed
xorg-docs-core                        69        installed
fcitx-module-kimpanel                 69        installed
remmina-plugin-vnc                    69        installed
unity-webapps-common                  69        installed
libhttp-daemon-perl                   70        installed
libio-html-perl                       70        installed
xinput                                71        installed
libplist3                             71        installed
libspeechd2                           71        installed
libyaml-tiny-perl                     71        installed
libdrm-nouveau2                       71        installed
libio-socket-inet6-perl               71        installed
libpcsclite1                          72        installed
libdigest-hmac-perl                   72        installed
libhyphen0                            72        installed
libhttp-negotiate-perl                72        installed
libpipeline1                          72        installed
libxcb-icccm4                         73        installed
friendly-recovery                     73        installed
libproxy1-plugin-gsettings            73        installed
hyphen-ru                             73        installed
libminiupnpc10                        74        installed
ubiquity-casper                       74        installed
libwayland-egl1-mesa                  74        installed
libnuma1                              74        installed
libxvmc1                              74        installed
libhttp-cookies-perl                  75        installed
apport-symptoms                       75        installed
unity-scope-manpages                  75        installed
libgdbm3                              75        installed
unity-scope-texdoc                    75        installed
libwayland-client0                    75        installed
unity-scope-calculator                75        installed
libgudev-1.0-0                        76        installed
unity-scope-video-remote              76        installed
unity-scope-tomboy                    76        installed
libogg0                               76        installed
file                                  76        installed
kerneloops-daemon                     76        installed
unity-scope-openclipart               76        installed
readline-common                       76        installed
libhtml-tagset-perl                   76        installed
libwww-robotrules-perl                76        installed
libx11-xcb1                           76        installed
unity-scope-firefoxbookmarks          76        installed
libisccc140                           77        installed
unity-scope-yelp                      77        installed
unity-scope-devhelp                   77        installed
printer-driver-sag-gdi                77        installed
libclutter-gtk-1.0-0                  77        installed
python3-defer                         77        installed
gir1.2-totem-plparser-1.0             77        installed
unity-scope-virtualbox                77        installed
python3-blinker                       78        installed
fwupdate-signed                       78        installed
libtevent0                            78        installed
