Package                           Size (KB)        Status
libfcitx-qt5-1                       233        installed
casper                               233        installed
patchutils                           234        installed
libsmartcols1                        235        installed
libkpathsea6                         235        installed
sessioninstaller                     236        installed
libfreerdp-primitives1.1             236        installed
libbamf3-2                           236        installed
python3-feedparser                   236        installed
libwinpr-synch0.1                    237        installed
ubuntu-drivers-common                237        installed
libwinpr-path0.1                     237        installed
libdmapsharing-3.0-2                 238        installed
patch                                238        installed
libcupsppdc1                         238        installed
libidn11                             239        installed
xbrlapi                              239        installed
gzip                                 240        installed
bc                                   240        installed
xserver-xorg                         240        installed
kmod                                 241        installed
libxfont1                            241        installed
fcitx-unikey                         241        installed
dash                                 242        installed
cron                                 243        installed
libnma0                              243        installed
libfreerdp-common1.1.0               243        installed
libwinpr-input0.1                    243        installed
libneon27-gnutls                     243        installed
python-apt-common                    244        installed
toshset                              245        installed
libedit2                             245        installed
python3-requests                     245        installed
libfreerdp-cache1.1                  245        installed
libglapi-mesa                        246        installed
aptdaemon-data                       246        installed
initramfs-tools-core                 246        installed
libgck-1-0                           246        installed
libmpdec2                            247        installed
libsemanage1                         247        installed
pppconfig                            248        installed
libedataserverui-1.2-1               248        installed
libfreerdp-utils1.1                  249        installed
x11-session-utils                    249        installed
p11-kit-modules                      250        installed
openoffice.org-hyphenation           250        installed
libmbim-glib4                        251        installed
libpeas-common                       252        installed
libpangoxft-1.0-0                    252        installed
gnome-screenshot                     252        installed
libcogl-common                       252        installed
libquvi-scripts                      253        installed
libmagickcore-6.q16-2-extra          253        installed
libgirepository-1.0-1                254        installed
libwebrtc-audio-processing-0         255        installed
libhcrypto4-heimdal                  256        installed
fakeroot                             256        installed
libnm-gtk0                           256        installed
libx86-1                             257        installed
libdmraid1.0.0.rc16                  259        installed
python3-urllib3                      259        installed
unity-lens-photos                    260        installed
libtxc-dxtn-s2tc0                    260        installed
libabw-0.1-1v5                       261        installed
pulseaudio-utils                     262        installed
libv4lconvert0                       263        installed
libseccomp2                          264        installed
libarchive-zip-perl                  265        installed
libdee-1.0-4                         265        installed
libquadmath0                         265        installed
mountall                             266        installed
xserver-xorg-video-nouveau           266        installed
libwinpr-rpc0.1                      267        installed
libcdio13                            267        installed
libksba8                             267        installed
python3-brlapi                       267        installed
gsettings-desktop-schemas            268        installed
libasound2-plugins                   268        installed
fcitx-module-x11                     269        installed
libfreerdp-crypto1.1                 269        installed
libavahi-core7                       270        installed
libmircommon5                        270        installed
libpangocairo-1.0-0                  270        installed
checkbox-converged                   270        installed
libpam-modules-bin                   270        installed
libubsan0                            271        installed
avahi-daemon                         273        installed
qt-at-spi                            273        installed
libustr-1.0-1                        273        installed
python3-cupshelpers                  273        installed
libipc-run-perl                      274        installed
librdf0                              275        installed
libsmbclient                         275        installed
libegl1-mesa                         275        installed
libfcitx-qt0                         276        installed
pulseaudio-module-bluetooth          276        installed
cryptsetup-bin                       276        installed
xserver-xorg-input-wacom             276        installed
libgtk2.0-common                     276        installed
samba-common                         277        installed
indicator-power                      277        installed
libpng12-0                           278        installed
less                                 281        installed
libncurses5                          281        installed
python3.5                            283        installed
libgtk-3-bin                         283        installed
p11-kit                              284        installed
signon-ui-x11                        285        installed
t1utils                              285        installed
libunity-webapps0                    287        installed
liblsan0                             287        installed
qml-module-qtquick2                  287        installed
gir1.2-pango-1.0                     287        installed
cups-browsed                         290        installed
libqt5positioning5                   290        installed
libk5crypto3                         290        installed
libbabeltrace-ctf1                   290        installed
libxkbcommon0                        292        installed
cups-pk-helper                       292        installed
libpeas-1.0-0                        292        installed
squashfs-tools                       292        installed
libgdata-common                      292        installed
libgphoto2-port12                    292        installed
fcitx-ui-classic                     293        installed
imagemagick-common                   294        installed
libjson-glib-1.0-0                   295        installed
evolution-data-server-online-accounts    295        installed
mousetweaks                          296        installed
crda                                 297        installed
libplymouth4                         298        installed
syslinux                             298        installed
xdg-utils                            300        installed
libebook-contacts-1.2-2              300        installed
libpam-runtime                       300        installed
gnome-menus                          300        installed
libwinpr-sspi0.1                     300        installed
libqt5test5                          301        installed
libappstream-glib8                   301        installed
libcolumbus1v5                       302        installed
python3-mako                         302        installed
unity-scope-home                     302        installed
sed                                  304        installed
unattended-upgrades                  304        installed
gstreamer1.0-x                       304        installed
libreoffice-ogltrans                 305        installed
liblzma5                             305        installed
libpangoft2-1.0-0                    308        installed
libpcap0.8                           308        installed
x11-common                           309        installed
dnsutils                             310        installed
ethtool                              311        installed
libfreerdp-gdi1.1                    311        installed
base-files                           312        installed
libgssapi3-heimdal                   312        installed
libespeak1                           312        installed
gtk2-engines-murrine                 312        installed
python3-idna                         313        installed
libfuse2                             314        installed
libopus0                             314        installed
hplip                                315        installed
cpio                                 316        installed
libevent-2.0-5                       319        installed
sbsigntool                           320        installed
gnome-power-manager                  320        installed
libunity-protocol-private0           320        installed
libatkmm-1.6-1v5                     321        installed
libreadline5                         324        installed
cryptsetup                           326        installed
wireless-tools                       328        installed
libwinpr-utils0.1                    329        installed
curl                                 329        installed
aspell-en                            330        installed
libnspr4                             330        installed
libcroco3                            331        installed
libgrilo-0.2-1                       334        installed
libwnck-3-0                          334        installed
install-info                         335        installed
libcheese-gtk25                      335        installed
ncurses-base                         336        installed
libjasper1                           336        installed
python2.7                            336        installed
im-config                            336        installed
ubuntu-release-upgrader-core         336        installed
fcitx-table                          339        installed
gvfs-fuse                            339        installed
gettext-base                         340        installed
libgoa-1.0-0b                        340        installed
gnome-session-common                 340        installed
libappstream3                        341        installed
python3-bs4                          341        installed
mtools                               343        installed
fonts-lklug-sinhala                  344        installed
libsecret-1-0                        344        installed
bamfdaemon                           344        installed
evolution-data-server-common         344        installed
libaccountsservice0                  344        installed
libncursesw5                         345        installed
libpam-gnome-keyring                 347        installed
libvisual-0.4-0                      348        installed
libdjvulibre-text                    348        installed
zenity                               350        installed
libnettle6                           350        installed
libpam-systemd                       350        installed
gir1.2-gst-plugins-base-1.0          351        installed
libparted2                           351        installed
remmina                              351        installed
libssh-4                             352        installed
libhx509-5-heimdal                   352        installed
aspell                               352        installed
software-properties-gtk              353        installed
libcheese8                           353        installed
libexif12                            356        installed
make                                 356        installed
libblkid1                            356        installed
libgc1c2                             358        installed
libfreerdp-codec1.1                  358        installed
dh-python                            358        installed
myspell-en-za                        358        installed
myspell-it                           358        installed
myspell-en-gb                        358        installed
remmina-common                       360        installed
gcr                                  360        installed
qml-module-qtgraphicaleffects        360        installed
libwww-perl                          362        installed
hyphen-it                            362        installed
libqt5xml5                           363        installed
libexpat1                            364        installed
libfreerdp-client1.1                 364        installed
gconf-service                        364        installed
fonts-tlwg-garuda-ttf                365        installed
ltrace                               365        installed
libfreerdp-locale1.1                 365        installed
busybox-initramfs                    367        installed
fontconfig-config                    367        installed
mobile-broadband-provider-info       367        installed
vim-common                           367        installed
gir1.2-ibus-1.0                      368        installed
libasound2-data                      372        installed
indicator-sound                      372        installed
gir1.2-webkit2-4.0                   372        installed
appmenu-qt5                          374        installed
libcolord2                           375        installed
indicator-messages                   377        installed
python3-dbus                         377        installed
libldb1                              380        installed
fonts-tlwg-loma-ttf                  381        installed
libreadline6                         382        installed
libmount1                            383        installed
xz-utils                             384        installed
klibc-utils                          384        installed
unity-control-center-signon          385        installed
libjpeg-turbo8                       386        installed
libqt5sql5                           386        installed
libc-dev-bin                         387        installed
libyelp0                             387        installed
hyphen-fr                            388        installed
libp11-kit-gnome-keyring             388        installed
e2fslibs                             389        installed
libnm-glib4                          392        installed
libwebp5                             394        installed
libgettextpo0                        395        installed
libx11-protocol-perl                 395        installed
libhpmud0                            395        installed
ubuntu-sounds                        396        installed
python3-oauthlib                     398        installed
liblcms2-2                           400        installed
xfonts-utils                         401        installed
libclucene-contribs1v5               402        installed
libhunspell-1.3-0                    403        installed
libharfbuzz0b                        405        installed
libwacom-common                      406        installed
libgtk-3-common                      408        installed
fonts-tlwg-sawasdee-ttf              408        installed
mount                                410        installed
gir1.2-totem-1.0                     410        installed
fonts-tlwg-waree-ttf                 411        installed
libgssapi-krb5-2                     412        installed
policykit-1                          412        installed
python3-pkg-resources                412        installed
libpackagekit-glib2-16               413        installed
liblua5.2-0                          414        installed
libqt4-sql                           414        installed
fonts-tlwg-mono-ttf                  415        installed
diffutils                            416        installed
gnome-screensaver                    416        installed
libpoppler-glib8                     423        installed
libmspub-0.1-1                       424        installed
gir1.2-gdata-0.0                     424        installed
libzeitgeist-2.0-0                   425        installed
libdevmapper1.02.1                   425        installed
zeitgeist-core                       428        installed
librsvg2-2                           428        installed
accountsservice                      428        installed
libgnome-desktop-3-12                429        installed
libfreehand-0.1-1                    430        installed
gpgv                                 430        installed
libraptor2-0                         430        installed
fonts-tlwg-typist-ttf                431        installed
fonts-tlwg-typo-ttf                  434        installed
libisc-export160                     434        installed
libqt4-xml                           435        installed
libgail-common                       436        installed
libdbus-1-3                          436        installed
console-setup                        437        installed
fonts-tlwg-typewriter-ttf            437        installed
libp11-kit0                          437        installed
lsof                                 440        installed
unity-lens-applications              441        installed
plymouth                             441        installed
libcgi-pm-perl                       444        installed
libfdisk1                            448        installed
gvfs-common                          448        installed
activity-log-manager                 452        installed
fonts-opensymbol                     453        installed
libqt5svg5                           456        installed
libapt-inst2.0                       459        installed
doc-base                             460        installed
cups-client                          461        installed
libmirprotobuf3                      461        installed
libgd3                               462        installed
libglu1-mesa                         463        installed
alsa-base                            464        installed
poppler-utils                        465        installed
libxslt1.1                           466        installed
libio-socket-ssl-perl                467        installed
libtinfo5                            468        installed
libxt6                               471        installed
libmtp9                              473        installed
libudisks2-0                         475        installed
grep                                 476        installed
x11-xkb-utils                        476        installed
cups-filters-core-drivers            477        installed
gir1.2-vte-2.91                      477        installed
rhythmbox-plugin-zeitgeist           477        installed
x11-xserver-utils                    479        installed
libibus-1.0-5                        484        installed
ca-certificates                      485        installed
hyphen-de                            486        installed
fonts-tlwg-laksaman-ttf              486        installed
libxaw7                              487        installed
libpresage1v5                        490        installed
xfonts-scalable                      492        installed
unity-webapps-service                492        installed
libqt5opengl5                        495        installed
librasqal3                           496        installed
python3-chardet                      496        installed
libtiff5                             497        installed
libjack-jackd2-0                     498        installed
python3-aptdaemon                    499        installed
thunderbird-locale-it                499        installed
libgmime-2.6-0                       499        installed
libsndfile1                          499        installed
libexttextcat-data                   501        installed
libwmf0.2-7                          503        installed
xserver-xorg-video-radeon            504        installed
upower                               504        installed
libhtml-tree-perl                    506        installed
libldap-2.4-2                        506        installed
myspell-pt-pt                        507        installed
info                                 507        installed
bluez-obexd                          509        installed
libgcr-ui-3-1                        509        installed
libfreerdp-plugins-standard          510        installed
libgdk-pixbuf2.0-0                   512        installed
libfontconfig1                       512        installed
libflac8                             513        installed
libgpgme11                           513        installed
ncurses-bin                          514        installed
libgpod4                             515        installed
python3-html5lib                     515        installed
gconf2-common                        516        installed
firefox-locale-it                    516        installed
unzip                                518        installed
libvte-2.91-common                   520        installed
unity-asset-pool                     521        installed
libe-book-0.1-1                      521        installed
qpdf                                 522        installed
libpcre16-3                          528        installed
python3-uno                          531        installed
libcompizconfig0                     533        installed
user-setup                           535        installed
fwupd                                536        installed
dbus                                 536        installed
libpango-1.0-0                       537        installed
python3-apport                       538        installed
xdg-user-dirs                        538        installed
libreoffice-pdfimport                539        installed
libgnome-bluetooth13                 539        installed
fontconfig                           540        installed
sound-theme-freedesktop              541        installed
libcurl3-gnutls                      541        installed
grub-pc                              547        installed
debconf                              547        installed
gvfs-bin                             547        installed
libcurl3                             549        installed
libnm-util2                          549        installed
thunderbird-locale-en                549        installed
gconf-service-backend                550        installed
libgmp10                             554        installed
libgl1-mesa-glx                      555        installed
libsepol1                            555        installed
fonts-tlwg-umpush-ttf                556        installed
thunderbird-locale-de                556        installed
libglewmx1.13                        558        installed
cracklib-runtime                     560        installed
findutils                            560        installed
firefox-locale-ru                    561        installed
gnome-bluetooth                      564        installed
ecryptfs-utils                       564        installed
bsdmainutils                         565        installed
libxml-parser-perl                   566        installed
vino                                 568        installed
liborc-0.4-0                         569        installed
libilmbase12                         569        installed
libgconf-2-4                         569        installed
fonts-khmeros-core                   571        installed
libthai-data                         571        installed
thermald                             572        installed
zip                                  573        installed
libxml-twig-perl                     573        installed
totem                                573        installed
imagemagick-6.q16                    582        installed
thunderbird-locale-fr                582        installed
libmng2                              583        installed
sane-utils                           585        installed
thunderbird-locale-ru                588        installed
gconf2                               589        installed
libmirclient9                        592        installed
thunderbird-locale-zh-hans           595        installed
thunderbird-locale-zh-hant           598        installed
printer-driver-foo2zjs               598        installed
isc-dhcp-client                      598        installed
foomatic-db-compressed-ppds          599        installed
signond                              602        installed
gir1.2-rb-3.0                        603        installed
x11-utils                            605        installed
libqt5organizer5                     608        installed
libnet-dbus-perl                     609        installed
python3-apt                          610        installed
gnome-session-bin                    610        installed
firefox-locale-de                    615        installed
fonts-tlwg-kinnari-ttf               615        installed
libsystemd0                          615        installed
xdiagnose                            616        installed
firefox-locale-fr                    619        installed
gir1.2-glib-2.0                      619        installed
gvfs                                 619        installed
myspell-en-au                        622        installed
python3-distupgrade                  623        installed
libqt5dbus5                          624        installed
dirmngr                              629        installed
fcitx-data                           632        installed
gdbserver                            633        installed
libkrb5-26-heimdal                   633        installed
python                               635        installed
python3-gi                           635        installed
libical1a                            638        installed
gnome-desktop3-data                  640        installed
lshw                                 643        installed
libvisio-0.1-1                       646        installed
adduser                              648        installed
libgcr-base-3-1                      648        installed
firefox-locale-zh-hans               649        installed
libglew1.13                          649        installed
libodfgen-0.1-1                      650        installed
libcdr-0.1-1                         650        installed
unity-greeter                        652        installed
gucharmap                            652        installed
libcups2                             652        installed
lp-solve                             655        installed
libpcre3                             655        installed
lightdm                              656        installed
fonts-tlwg-purisa-ttf                661        installed
grilo-plugins-0.2-base               664        installed
xfonts-encodings                     668        installed
libqt5printsupport5                  668        installed
cheese                               668        installed
perl                                 669        installed
libreoffice-gtk                      671        installed
procps                               676        installed
libebook-1.2-16                      677        installed
unity-webapps-qml                    677        installed
rsync                                680        installed
libqtdbus4                           680        installed
libwpd-0.10-10                       682        installed
nano                                 684        installed
libgtksourceview-3.0-1               689        installed
gvfs-libs                            691        installed
libebackend-1.2-10                   696        installed
libtheora0                           697        installed
libfreerdp-core1.1                   697        installed
libpixman-1-0                        699        installed
libvorbisenc2                        699        installed
libarchive13                         701        installed
usbutils                             704        installed
hunspell-en-us                       707        installed
libnet-dns-perl                      707        installed
net-tools                            708        installed
fonts-tlwg-norasi-ttf                715        installed
apt-utils                            716        installed
libedata-cal-1.2-28                  723        installed
libnux-4.0-common                    726        installed
metacity                             727        installed
libmetacity-private3a                737        installed
dnsmasq-base                         740        installed
notify-osd                           745        installed
gdisk                                746        installed
fcitx-ui-qimpanel                    752        installed
ubiquity-frontend-gtk                754        installed
cups                                 755        installed
gvfs-daemons                         756        installed
python3-icu                          759        installed
librevenge-0.0-0                     759        installed
dictionaries-common                  760        installed
libgettextpo-dev                     765        installed
ubiquity-ubuntu-artwork              765        installed
apport                               772        installed
python3-xlsxwriter                   773        installed
libvte-2.91-0                        776        installed
webapp-container                     777        installed
debconf-i18n                         780        installed
libasn1-8-heimdal                    782        installed
libunity9                            787        installed
libmm-glib0                          789        installed
tar                                  804        installed
python3-jinja2                       809        installed
libsnmp-base                         809        installed
transmission-common                  809        installed
libmpfr4                             812        installed
printer-driver-gutenprint            815        installed
libcogl20                            817        installed
ufw                                  818        installed
compiz-gnome                         825        installed
ubuntu-ui-toolkit-theme              828        installed
libecal-1.2-19                       830        installed
baobab                               836        installed
colord                               842        installed
libqpdf17                            845        installed
hud                                  846        installed
gnome-calendar                       848        installed
libedata-book-1.2-25                 854        installed
colord-data                          864        installed
libgee-0.8-2                         868        installed
libtotem0                            873        installed
libtsan0                             875        installed
indicator-session                    876        installed
wget                                 876        installed
ibus-table                           884        installed
wspanish                             892        installed
strace                               892        installed
cups-daemon                          902        installed
libfreetype6                         906        installed
gnome-disk-utility                   908        installed
printer-driver-pnm2ppa               910        installed
transmission-gtk                     912        installed
libpam-modules                       918        installed
udisks2                              920        installed
qtdeclarative5-dev-tools             930        installed
openssl                              934        installed
libisc160                            937        installed
gnome-user-share                     940        installed
libpulse0                            942        installed
libsoup2.4-1                         948        installed
libsqlite3-0                         951        installed
ppp                                  951        installed
gnupg-agent                          952        installed
rhythmbox                            954        installed
totem-plugins                        954        installed
thunderbird-locale-es                959        installed
libgcrypt20                          967        installed
hunspell-en-za                       977        installed
myspell-es                           980        installed
fonts-kacst                          983        installed
wbritish                             990        installed
wamerican                            990        installed
gir1.2-gtk-3.0                       991        installed
libkrb5-3                            991        installed
libevview3-3                        1,002       installed
update-manager                      1,013       installed
thunderbird-locale-pt               1,018       installed
firefox-locale-en                   1,018       installed
libreoffice-style-breeze            1,030       installed
gnome-software                      1,031       installed
libcaca0                            1,032       installed
kbd                                 1,040       installed
simple-scan                         1,044       installed
libtag1v5-vanilla                   1,049       installed
hunspell-en-ca                      1,050       installed
gstreamer1.0-tools                  1,053       installed
libgeonames0                        1,054       installed
libcwidget3v5                       1,056       installed
libqt5multimedia5                   1,057       installed
firefox-locale-pt                   1,058       installed
jfsutils                            1,068       installed
vim-tiny                            1,071       installed
libasan2                            1,071       installed
libnet-ssleay-perl                  1,083       installed
reiserfsprogs                       1,088       installed
libedataserver-1.2-21               1,088       installed
gnome-terminal                      1,111       installed
grub2-common                        1,114       installed
hunspell-de-de                      1,114       installed
hunspell-de-at                      1,114       installed
hunspell-de-ch                      1,115       installed
hunspell-en-gb                      1,118       installed
libepoxy0                           1,121       installed
speech-dispatcher                   1,128       installed
libgdata22                          1,149       installed
libunistring0                       1,156       installed
fcitx-mozc                          1,156       installed
pciutils                            1,161       installed
libprotobuf9v5                      1,164       installed
gnome-system-log                    1,164       installed
liblvm2app2.2                       1,169       installed
libexempi3                          1,171       installed
metacity-common                     1,172       installed
tcpdump                             1,181       installed
liborcus-0.10-0v5                   1,189       installed
login                               1,192       installed
evince                              1,197       installed
libasound2                          1,198       installed
console-setup-linux                 1,207       installed
branding-ubuntu                     1,219       installed
bash-completion                     1,227       installed
gir1.2-gstreamer-1.0                1,236       installed
notify-osd-icons                    1,251       installed
libcairo2                           1,266       installed
libwps-0.4-4                        1,276       installed
indicator-datetime                  1,276       installed
libevdocument3-4                    1,278       installed
witalian                            1,281       installed
libmagickwand-6.q16-2               1,284       installed
rsyslog                             1,297       installed
compiz-core                         1,300       installed
python3-pil                         1,305       installed
manpages                            1,314       installed
ibus                                1,328       installed
libsane-hpaio                       1,331       installed
libcamel-1.2-54                     1,331       installed
cups-common                         1,348       installed
gnome-system-monitor                1,364       installed
libx11-6                            1,366       installed
gnome-mines                         1,368       installed
update-notifier-common              1,372       installed
printer-driver-postscript-hp        1,377       installed
libreoffice-math                    1,387       installed
python-crypto                       1,388       installed
python3-cryptography                1,388       installed
git-man                             1,420       installed
hunspell-fr-classical               1,432       installed
system-config-printer-gnome         1,455       installed
samba-common-bin                    1,468       installed
libgnutls30                         1,472       installed
iproute2                            1,486       installed
liblangtag-common                   1,490       installed
light-themes                        1,490       installed
libgweather-common                  1,492       installed
cheese-common                       1,496       installed
libx11-data                         1,497       installed
libsamplerate0                      1,500       installed
bash                                1,500       installed
gnome-terminal-data                 1,516       installed
ntfs-3g                             1,522       installed
libslang2                           1,524       installed
hicolor-icon-theme                  1,528       installed
rhythmbox-plugins                   1,532       installed
shotwell-common                     1,532       installed
liboxideqt-qmlplugin                1,553       installed
genisoimage                         1,561       installed
liblvm2cmd2.02                      1,562       installed
cups-filters                        1,564       installed
wfrench                             1,565       installed
sudo                                1,580       installed
libglib2.0-data                     1,588       installed
libclutter-1.0-0                    1,596       installed
libtracker-sparql-1.0-0             1,601       installed
language-selector-common            1,609       installed
libnm0                              1,616       installed
iptables                            1,624       installed
apparmor                            1,635       installed
libmtp-common                       1,640       installed
upstart                             1,650       installed
libraw15                            1,658       installed
nautilus                            1,660       installed
libisl15                            1,674       installed
gnupg                               1,680       installed
libglib2.0-bin                      1,681       installed
libdjvulibre21                      1,687       installed
hunspell-it                         1,699       installed
gstreamer1.0-plugins-base           1,707       installed
libclucene-core1v5                  1,712       installed
dpkg-dev                            1,715       installed
zenity-common                       1,716       installed
xterm                               1,719       installed
gedit                               1,732       installed
libgtksourceview-3.0-common         1,740       installed
libdb5.3                            1,746       installed
gvfs-backends                       1,753       installed
libdpkg-perl                        1,780       installed
firefox-locale-es                   1,788       installed
librhythmbox-core9                  1,800       installed
libqmi-glib1                        1,803       installed
totem-common                        1,816       installed
evolution-data-server               1,816       installed
yelp-xsl                            1,844       installed
printer-driver-hpcups               1,855       installed
fonts-sil-padauk                    1,857       installed
gnome-sudoku                        1,892       installed
libdns-export162                    1,930       installed
libunity-core-6.0-9                 1,949       installed
file-roller                         1,952       installed
gnupg2                              1,960       installed
liboxideqtquick0                    1,960       installed
gparted                             1,968       installed
libcmis-0.5-5v5                     1,971       installed
libstdc++6                          1,987       installed
busybox-static                      2,010       installed
seahorse                            2,016       installed
xserver-common                      2,030       installed
network-manager-gnome               2,032       installed
ubiquity-slideshow-ubuntu           2,060       installed
libqt5network5                      2,086       installed
yelp                                2,088       installed
man-db                              2,088       installed
libetonyek-0.1-1                    2,098       installed
libqt4-network                      2,107       installed
x11-apps                            2,115       installed
libgstreamer-plugins-base1.0-0      2,116       installed
lvm2                                2,117       installed
fonts-liberation                    2,124       installed
libxml2                             2,124       installed
libfftw3-double3                    2,144       installed
rhythmbox-data                      2,152       installed
libaspell15                         2,154       installed
alsa-utils                          2,192       installed
espeak-data                         2,192       installed
libfftw3-single3                    2,204       installed
fonts-sil-abyssinica                2,208       installed
libvpx3                             2,236       installed
libtk8.6                            2,248       installed
webbrowser-app                      2,260       installed
oxideqt-codecs                      2,361       installed
passwd                              2,363       installed
libglibmm-2.4-1v5                   2,419       installed
python3-reportlab                   2,421       installed
libxapian22v5                       2,430       installed
libtelepathy-glib0                  2,435       installed
shared-mime-info                    2,436       installed
libreoffice-l10n-en-za              2,444       installed
printer-driver-foo2zjs-common       2,466       installed
memtest86+                          2,488       installed
mythes-ru                           2,501       installed
uno-libs3                           2,511       installed
libreoffice-style-galaxy            2,536       installed
wpasupplicant                       2,538       installed
libreoffice-l10n-zh-tw              2,541       installed
libreoffice-l10n-zh-cn              2,544       installed
gnome-software-common               2,564       installed
keyboard-configuration              2,576       installed
libreoffice-l10n-en-gb              2,586       installed
libreoffice-base-core               2,607       installed
libpoppler58                        2,627       installed
cups-server-common                  2,630       installed
libreoffice-l10n-de                 2,634       installed
libreoffice-l10n-pt                 2,640       installed
libreoffice-l10n-it                 2,643       installed
libreoffice-l10n-pt-br              2,645       installed
eog                                 2,648       installed
libreoffice-l10n-es                 2,665       installed
mythes-it                           2,672       installed
libexiv2-14                         2,677       installed
libreoffice-l10n-fr                 2,693       installed
gnome-calculator                    2,728       installed
unity-settings-daemon               2,744       installed
libapt-pkg5.0                       2,750       installed
modemmanager                        2,760       installed
libpython2.7-minimal                2,762       installed
krb5-locales                        2,764       installed
plainbox-provider-checkbox          2,764       installed
tzdata                              2,769       installed
fonts-stix                          2,779       installed
evince-common                       2,820       installed
gedit-common                        2,888       installed
libqt4-script                       2,922       installed
grub-pc-bin                         2,928       installed
deja-dup                            2,932       installed
fonts-dejavu-core                   2,963       installed
fonts-symbola                       2,966       installed
wbrazilian                          2,987       installed
xkb-data                            2,995       installed
python3-lxml                        3,010       installed
e2fsprogs                           3,020       installed
aisleriot                           3,024       installed
libnux-4.0-0                        3,082       installed
libreoffice-l10n-ru                 3,095       installed
xserver-xorg-video-intel            3,123       installed
libopenexr22                        3,202       installed
libxatracker2                       3,208       installed
libsnmp30                           3,220       installed
groff-base                          3,226       installed
util-linux                          3,237       installed
apt                                 3,291       installed
xfsprogs                            3,332       installed
libgstreamer1.0-0                   3,428       installed
onboard                             3,448       installed
dmz-cursor-theme                    3,462       installed
libc-bin                            3,477       installed
libssl1.0.0                         3,492       installed
ubuntu-wallpapers                   3,516       installed
libpython2.7                        3,549       installed
lintian                             3,559       installed
python2.7-minimal                   3,561       installed
syslinux-common                     3,567       installed
manpages-dev                        3,610       installed
btrfs-tools                         3,638       installed
xcursor-themes                      3,639       installed
language-pack-en-base               3,672       installed
gnome-keyring                       3,680       installed
libgphoto2-6                        3,684       installed
libnss3                             3,685       installed
mozc-utils-gui                      3,690       installed
openssh-client                      3,694       installed
gnome-mahjongg                      3,700       installed
wogerman                            3,740       installed
libpython3.5-minimal                3,742       installed
pulseaudio                          3,840       installed
xserver-xorg-core                   3,883       installed
libtcl8.6                           3,912       installed
libmagic1                           3,983       installed
libreoffice-impress                 3,994       installed
libdns162                           4,051       installed
ttf-ubuntu-font-family              4,085       installed
aptitude                            4,106       installed
bluez                               4,119       installed
libsane-common                      4,132       installed
command-not-found-data              4,154       installed
gettext                             4,188       installed
linux-libc-dev                      4,198       installed
netpbm                              4,229       installed
libqt5quick5                        4,251       installed
libqt4-declarative                  4,308       installed
qml-module-ubuntu-components        4,408       installed
unity-control-center                4,436       installed
fonts-tibetan-machine               4,449       installed
aptitude-common                     4,472       installed
libpython3.5                        4,514       installed
libqt5qml5                          4,561       installed
openprinting-ppds                   4,576       installed
wngerman                            4,582       installed
wswiss                              4,584       installed
libgucharmap-2-90-7                 4,639       installed
gnome-orca                          4,644       installed
compiz-plugins-default              4,684       installed
libgtkmm-2.4-1v5                    4,692       installed
gsfonts                             4,764       installed
libqt4-xmlpatterns                  4,775       installed
wportuguese                         4,783       installed
ure                                 4,791       installed
qtcore4-l10n                        4,816       installed
suru-icon-theme                     4,922       installed
libglib2.0-0                        4,954       installed
libqtcore4                          4,973       installed
python3-checkbox-support            5,113       installed
libqt5core5a                        5,308       installed
libgs9-common                       5,315       installed
fcitx-modules                       5,413       installed
hunspell-ru                         5,435       installed
geoip-database                      5,437       installed
gstreamer1.0-plugins-good           5,444       installed
myspell-pt-br                       5,540       installed
mythes-fr                           5,561       installed
libtimezonemap-data                 5,613       installed
ubuntu-mono                         5,622       installed
libgtk2.0-0                         5,742       installed
libgtkmm-3.0-1v5                    5,850       installed
intel-gpu-tools                     5,874       installed
fonts-takao-pgothic                 6,170       installed
shotwell                            6,184       installed
libmagickcore-6.q16-2               6,238       installed
liblouis-data                       6,240       installed
coreutils                           6,264       installed
adwaita-icon-theme                  6,270       installed
libhangul-data                      6,364       installed
unity                               6,632       installed
dpkg                                6,655       installed
gnome-accessibility-themes          6,685       installed
libmwaw-0.3-3                       6,712       installed
udev                                6,720       installed
language-pack-zh-hans-base          6,927       installed
language-pack-gnome-en-base         6,970       installed
xfonts-base                         7,020       installed
brltty                              7,056       installed
linux-headers-4.4.0-21-generic      7,068       installed
perl-base                           7,097       installed
libqt5widgets5                      7,231       installed
python3-plainbox                    7,296       installed
gdb                                 7,310       installed
fcitx-pinyin                        7,315       installed
python-samba                        7,570       installed
language-pack-it-base               7,903       installed
libgutenprint2                      8,189       installed
libpython2.7-stdlib                 8,482       installed
libqt5gui5                          8,731       installed
python3.5-minimal                   8,790       installed
libreoffice-draw                    8,831       installed
libjavascriptcoregtk-4.0-18         8,969       installed
libgtk-3-0                          9,006       installed
language-pack-gnome-zh-hans-base    9,384       installed
libsane                             9,439       installed
language-pack-gnome-it-base         9,441       installed
network-manager                     9,524       installed
qttranslations5-l10n                9,689       installed
hplip-data                          9,786       installed
libpython3.5-stdlib                 9,820       installed
fonts-freefont-ttf                  10,613      installed
language-pack-fr-base               10,614      installed
libc6                               10,947      installed
guile-2.0-libs                      11,009      installed
language-pack-ru-base               11,081      installed
language-pack-es-base               11,109      installed
language-pack-de-base               11,437      installed
grub-common                         11,616      installed
language-pack-gnome-ru-base         12,060      installed
poppler-data                        12,123      installed
libgcc-5-dev                        12,255      installed
